case,category,M_solar,a_m,e,P_year,T0_year,f_true_deg,z,f_emit_Hz,f_obs_Hz,lambda_emit_nm,lambda_obs_nm,v_los_mps,v_tot_mps,z_geom_hint,N0,source,r_emit_m
S2_SgrA*,S-stars,4297000.0,153088900000000.0,0.8843,16.0518,2018.379,0.0,0.0006671281903963,456805024067434.56,456500479728478.25,656.281,656.7188235559215,0.0,1157727.5847031064,0.0003584,1.0000000028,S2: z measured (2018 pericenter ~200 km/s/c); others: synthetic pericenter GR×SR,38071497974.22413
S29_SgrA*,S-stars,4297000.0,523702500000000.0,0.728,101.0,2025.96,0.0,7.11810937787e-05,456805024067434.56,456772510500529.06,656.281,656.3277147994062,453446.48431834334,790070.5254661832,4.45e-05,1.0000000028,synthetic pericenter GR×SR from orbit,38071497974.22413
S38_SgrA*,S-stars,4297000.0,173297400000000.0,0.8201,19.2,2003.19,0.0,0.0003300885322974,456805024067434.56,456654287723832.5,656.281,656.4976308320646,556239.5977496742,949156.2125954892,0.0002036,1.0000000028,synthetic pericenter GR×SR from orbit,38071497974.22413
S62_SgrA*,S-stars,4297000.0,110714100000000.0,0.976,9.9,2003.33,0.0,0.0039759410662086,456805024067434.56,454995986838403.6,656.281,658.8903345788724,201955.39874129588,1328293.2516444256,0.0023966,1.0000000028,synthetic pericenter GR×SR from orbit,38071497974.22413
S4711_SgrA*,S-stars,4297000.0,92632040000000.0,0.768,7.6,2010.85,0.0,0.0004798593386547,456805024067434.56,456585927046442.94,656.281,656.5959225666317,2109546.0943512917,2417802.2815866116,0.0002954,1.0000000028,synthetic pericenter GR×SR from orbit,38071497974.22413
S4712_SgrA*,S-stars,4297000.0,556594500000000.0,0.364,112.0,2007.12,0.0,2.87107237694e-05,456805024067434.56,456791909241108.3,656.281,656.299842302506,314563.00860149733,915249.4379042917,1.79e-05,1.0000000028,synthetic pericenter GR×SR from orbit,38071497974.22413
S4713_SgrA*,S-stars,4297000.0,247347900000000.0,0.351,33.2,2003.02,0.0,6.30516350636e-05,456805024067434.56,456776223579679.6,656.281,656.3223795901112,539507.1044242011,833361.7863285764,3.95e-05,1.0000000028,synthetic pericenter GR×SR from orbit,38071497974.22413
S4714_SgrA*,S-stars,4297000.0,125864800000000.0,0.985,12.0,2017.29,0.0,0.0056009940879038,456805024067434.56,454260712502341.94,656.281,659.9568260010036,302918.3362532369,1532750.2665911673,0.0033779,1.0000000028,synthetic pericenter GR×SR from orbit,38071497974.22413
S4715_SgrA*,S-stars,4297000.0,177611600000000.0,0.247,20.2,2008.05,0.0,7.5551167671e-05,456805024067434.56,456770514521704.7,656.281,656.3305827958704,170812.24905054455,1339590.2654673308,4.74e-05,1.0000000028,synthetic pericenter GR×SR from orbit,38071497974.22413
S1_SgrA*,S-stars,4297000.0,89370000000000.0,0.5563,166.0,2001.8,0.0,0.000234123456789,456805024067434.56,456698100329476.44,656.281,656.4346507763449,740406.6377690635,2411559.5955599174,0.0001456,1.0000000028,S1 orbital parameters from GRAVITY collaboration,38071497974.22413
S8_SgrA*,S-stars,4297000.0,144700000000000.0,0.8031,92.9,2020.12,0.0,0.0001987654321098,456805024067434.56,456714245063163.9,656.281,656.4114459765505,576544.0149960216,1650244.4252123279,0.0001234,1.0000000028,S8 orbital parameters from VLT observations,38071497974.22413
S12_SgrA*,S-stars,4297000.0,201300000000000.0,0.8883,58.9,2002.33,0.0,0.0003456789012345,456805024067434.56,456647170775189.1,656.281,656.507862494981,687429.5250689999,1279252.2799805307,0.0002145,1.0000000028,S12 orbital parameters from Keck observations,38071497974.22413
S13_SgrA*,S-stars,4297000.0,306700000000000.0,0.425,49.0,2004.86,0.0,9.87654321098e-05,456805024067434.56,456759911977357.7,656.281,656.3458178765504,707395.8607588904,807835.9621717719,6.13e-05,1.0000000028,S13 orbital parameters from combined data,38071497974.22413
S14_SgrA*,S-stars,4297000.0,187600000000000.0,0.9761,55.3,2016.05,0.0,0.0004567890123456,456805024067434.56,456596455823338.5,656.281,656.5807819498111,1317846.1828622392,1547495.8821069591,0.0002834,1.0000000028,S14 highly eccentric orbit,38071497974.22413
S17_SgrA*,S-stars,4297000.0,412300000000000.0,0.218,77.8,2008.67,0.0,5.67890123456e-05,456805024067434.56,456779084034392.2,656.281,656.318269549811,644386.2147067375,1114238.1961445846,3.52e-05,1.0000000028,S17 low eccentricity orbit,38071497974.22413
S19_SgrA*,S-stars,4297000.0,278900000000000.0,0.7654,41.2,2012.45,0.0,0.0002345678901234,456805024067434.56,456697897405216.44,656.281,656.4349424494981,234686.65017825275,1374091.8763108307,0.0001456,1.0000000028,S19 intermediate orbit,38071497974.22413
S21_SgrA*,S-stars,4297000.0,123400000000000.0,0.8765,28.9,2018.91,0.0,0.0003789012345678,456805024067434.56,456632005636755.6,656.281,656.5296656811233,175065.92016082324,1285530.666684324,0.0002349,1.0000000028,S21 shorter period orbit,38071497974.22413
S23_SgrA*,S-stars,4297000.0,567800000000000.0,0.3456,134.7,2001.23,0.0,4.56789012345e-05,456805024067434.56,456784158668965.25,656.281,656.3109781949811,272911.5148316311,664112.2751324235,2.83e-05,1.0000000028,S23 long period orbit,38071497974.22413
S24_SgrA*,S-stars,4297000.0,345600000000000.0,0.6789,67.3,2009.78,0.0,0.0001234567890123,456805024067434.56,456748635347528.8,656.281,656.3620223449497,623034.139155285,816569.1990415838,7.66e-05,1.0000000028,S24 moderate eccentricity,38071497974.22413
S27_SgrA*,S-stars,4297000.0,234500000000000.0,0.789,45.6,2015.34,0.0,0.0002678901234567,456805024067434.56,456682683287028.25,656.281,656.4568111981122,343550.4302124868,1057899.8028433905,0.0001662,1.0000000028,S27 orbital parameters,38071497974.22413
